I II V1 V2 V3 V4 V5 V6
-6 2 10 12 2 6 -2 2
-6 2 10 12 2 6 -2 2
-6 2 10 12 2 6 -2 2
-6 2 10 12 2 6 -2 2
-6 -4 5 6 -3 -2 -8 -7
-6 -8 0 2 -8 -10 -12 -14
-6 -12 -5 -2 -13 -18 -16 -21
-6 -16 -10 -6 -18 -26 -20 -28
-6 -6 -9 -4 -16 -22 -18 -22
-6 4 -8 -4 -14 -18 -16 -16
-6 14 -7 -4 -12 -14 -14 -10
-6 24 -6 -4 -10 -10 -12 -4
-6 14 -3 -1 -8 -8 -9 -5
-6 4 0 2 -6 -6 -8 -6
-6 -6 3 5 -4 -4 -7 -7
-6 -16 6 8 -2 -2 -6 -8
-4 -7 1 2 -6 -7 -11 -12
-4 0 -4 -2 -10 -12 -14 -14
-4 7 -9 -6 -14 -17 -17 -16
-4 14 -14 -10 -18 -22 -20 -18
-6 10 -8 -5 -11 -13 -15 -12
-6 6 -2 0 -6 -6 -10 -6
-6 2 4 5 -1 1 -5 0
-6 -2 10 10 4 8 0 6
-4 -6 5 4 -2 -2 -5 -2
-4 -10 0 0 -8 -10 -10 -10
-4 -14 -5 -4 -14 -18 -15 -18
-4 -18 -10 -8 -20 -26 -20 -26
-4 -6 -7 -6 -16 -20 -18 -20
-4 4 -6 -6 -14 -16 -16 -14
-4 14 -5 -6 -12 -12 -14 -8
-4 24 -4 -6 -10 -8 -12 -2
-6 13 0 -2 -9 -5 -9 -3
-6 4 2 0 -8 -4 -8 -4
-6 -5 4 2 -7 -3 -7 -5
-6 -14 6 4 -6 -2 -6 -6
-4 -8 1 -2 -12 -9 -11 -9
-4 -2 -4 -6 -16 -14 -14 -12
-4 4 -9 -10 -20 -19 -17 -15
-4 10 -14 -14 -24 -24 -20 -18
-6 7 -8 -9 -16 -15 -14 -11
-6 4 -2 -4 -10 -8 -10 -6
-6 1 4 1 -4 -1 -6 -1
-6 -2 10 6 2 6 -2 4
-4 -9 4 2 -5 -4 -7 -4
-4 -14 0 -2 -10 -12 -12 -12
-4 -19 -4 -6 -15 -20 -17 -20
-4 -24 -8 -10 -20 -28 -22 -28
-4 -14 -7 -10 -18 -22 -20 -21
-4 -4 -6 -10 -16 -18 -18 -16
-4 6 -5 -10 -14 -14 -16 -11
-4 16 -4 -10 -12 -10 -14 -6
-6 6 -1 -7 -10 -8 -10 -6
-6 -2 2 -4 -8 -6 -8 -6
-6 -10 5 -1 -6 -4 -6 -6
-6 -18 8 2 -4 -2 -4 -6
-6 -11 3 -3 -10 -9 -8 -9
-6 -4 -2 -6 -14 -14 -12 -12
-6 3 -7 -9 -18 -19 -16 -15
-6 10 -12 -12 -22 -24 -20 -18
-4 6 -6 -8 -17 -17 -14 -11
-4 2 0 -4 -12 -10 -10 -6
-4 -2 6 0 -7 -3 -6 -1
-4 -6 12 4 -2 4 -2 4
-4 -10 7 0 -9 -4 -8 -5
