I II V1 V2 V3 V4 V5 V6
-25 -2 24 -74 -51 -51 -34 -56
-22 -2 19 -68 -46 -47 -31 -52
-19 -3 13 -61 -39 -41 -27 -47
-15 -4 8 -54 -33 -36 -24 -43
-12 -5 2 -47 -27 -31 -20 -37
-9 -5 -4 -40 -22 -26 -17 -33
-7 -6 -5 -37 -19 -24 -15 -30
-6 -6 -6 -34 -17 -22 -13 -27
-4 -7 -6 -31 -14 -20 -11 -25
-3 -7 -7 -28 -12 -18 -9 -22
-2 -7 -7 -26 -10 -16 -7 -20
0 -8 -9 -25 -9 -15 -6 -20
0 -8 -10 -25 -9 -15 -5 -22
0 -8 -11 -25 -9 -15 -5 -23
0 -8 -12 -25 -9 -15 -4 -25
0 -8 -13 -25 -9 -15 -4 -26
-2 -8 -14 -26 -8 -14 -3 -25
0 -8 -14 -26 -8 -15 -4 -22
0 -8 -15 -26 -9 -16 -4 -19
1 -8 -15 -26 -9 -17 -5 -16
1 -8 -15 -26 -9 -17 -5 -13
2 -7 -16 -25 -10 -18 -6 -12
2 -7 -16 -25 -10 -18 -5 -12
2 -7 -17 -25 -10 -18 -4 -12
2 -7 -17 -25 -10 -18 -3 -12
2 -7 -17 -25 -10 -18 -2 -12
1 -7 -18 -25 -9 -17 0 -13
1 -7 -18 -25 -9 -17 0 -13
1 -7 -18 -24 -9 -16 0 -13
1 -7 -18 -24 -9 -16 0 -13
1 -7 -18 -24 -9 -16 0 -13
2 -7 -19 -23 -8 -15 1 -13
2 -7 -19 -23 -8 -15 2 -13
2 -7 -20 -23 -7 -14 3 -13
2 -7 -20 -23 -7 -14 4 -13
2 -7 -20 -23 -7 -14 4 -13
1 -6 -21 -22 -6 -13 5 -12
1 -6 -21 -22 -6 -13 6 -11
2 -5 -21 -22 -6 -12 7 -10
2 -5 -21 -22 -6 -12 8 -9
2 -5 -21 -22 -6 -12 8 -8
3 -4 -22 -22 -7 -11 9 -6
3 -4 -23 -22 -6 -11 9 -5
3 -4 -24 -21 -6 -10 9 -4
3 -4 -25 -21 -5 -10 9 -3
3 -4 -25 -21 -5 -10 9 -2
3 -3 -26 -20 -4 -9 10 0
3 -3 -27 -20 -4 -9 12 0
3 -3 -27 -20 -4 -9 13 0
3 -3 -28 -20 -4 -9 15 0
3 -3 -28 -20 -4 -9 16 0
3 -4 -29 -20 -3 -8 17 0
4 -3 -29 -20 -2 -7 17 -3
5 -2 -30 -19 -2 -6 18 -4
6 0 -30 -19 0 -5 18 -6
7 1 -30 -19 0 -4 18 -7
8 2 -31 -18 1 -3 19 -6
8 2 -32 -18 2 -2 20 -3
8 3 -33 -18 3 0 21 1
8 3 -34 -18 4 1 22 4
8 3 -35 -18 4 1 23 6
7 4 -37 -17 5 3 25 6
7 5 -39 -17 6 5 27 5
8 6 -41 -17 7 6 29 3
8 7 -44 -17 8 8 31 2
8 8 -45 -17 9 9 32 1
9 9 -46 -16 10 11 34 1
10 10 -47 -16 10 12 35 2
10 11 -48 -16 10 14 36 3
11 12 -49 -16 10 15 37 4
11 12 -50 -16 10 16 38 5
12 13 -53 -16 11 17 40 8
