I II V1 V2 V3 V4 V5 V6
-15 -21 0 -23 -23 -24 -14 -11
-15 -21 0 -23 -23 -24 -14 -11
-15 -21 0 -23 -23 -23 -14 -11
-16 -22 -2 -23 -24 -22 -13 -10
-16 -22 -2 -23 -24 -21 -13 -10
-16 -22 -2 -23 -24 -21 -13 -10
-17 -23 -3 -23 -25 -20 -13 -9
-16 -23 -3 -24 -26 -21 -14 -10
-15 -23 -3 -24 -27 -22 -16 -11
-14 -23 -3 -25 -28 -23 -17 -12
-13 -23 -3 -25 -28 -23 -18 -12
-12 -24 -3 -26 -29 -24 -19 -13
-13 -25 -3 -26 -28 -24 -19 -13
-13 -26 -3 -26 -28 -23 -19 -13
-14 -27 -3 -26 -27 -23 -19 -13
-14 -27 -3 -26 -27 -23 -19 -13
-15 -28 -3 -27 -26 -22 -19 -13
-14 -28 -4 -27 -26 -22 -19 -13
-13 -28 -5 -27 -26 -23 -19 -13
-12 -28 -6 -27 -26 -23 -19 -13
-11 -28 -6 -27 -26 -23 -19 -13
-10 -28 -7 -27 -26 -24 -19 -13
-9 -26 -7 -26 -25 -23 -18 -12
-9 -25 -7 -26 -25 -22 -17 -11
-8 -23 -7 -25 -24 -21 -16 -10
-8 -22 -7 -25 -24 -20 -15 -9
-7 -21 -8 -24 -22 -19 -14 -8
-6 -20 -8 -23 -21 -18 -14 -8
-5 -19 -7 -22 -20 -18 -13 -7
-4 -18 -7 -21 -19 -17 -13 -7
-3 -17 -7 -20 -18 -17 -13 -7
-2 -16 -6 -19 -17 -16 -12 -6
-2 -16 -5 -19 -16 -15 -11 -6
-2 -15 -4 -18 -15 -15 -11 -6
-2 -15 -3 -18 -14 -14 -10 -6
-2 -15 -3 -18 -14 -14 -10 -6
-2 -14 -2 -17 -13 -13 -9 -6
0 -14 -2 -18 -14 -13 -10 -6
0 -14 -3 -18 -14 -14 -10 -6
1 -14 -3 -19 -15 -14 -11 -6
1 -14 -3 -19 -15 -14 -11 -6
1 -15 -4 -20 -16 -15 -12 -7
-2 -15 -3 -20 -16 -15 -12 -7
-4 -16 -2 -20 -16 -15 -12 -7
-6 -16 0 -20 -16 -15 -12 -7
-7 -16 0 -20 -16 -15 -12 -7
-8 -17 1 -20 -16 -14 -11 -8
-9 -17 1 -20 -16 -14 -11 -8
-10 -17 0 -20 -16 -14 -12 -8
-11 -17 0 -20 -16 -14 -12 -8
-12 -17 0 -20 -16 -14 -12 -8
-13 -18 -2 -21 -17 -15 -13 -9
-13 -18 -2 -21 -17 -15 -13 -9
-13 -18 0 -21 -17 -15 -13 -9
-13 -18 0 -21 -17 -15 -13 -9
-13 -18 0 -21 -17 -15 -13 -9
-13 -18 2 -22 -18 -15 -12 -8
-13 -19 4 -21 -17 -15 -12 -9
-13 -20 5 -20 -17 -15 -13 -10
-13 -21 7 -19 -16 -15 -13 -11
-13 -22 8 -18 -16 -15 -13 -11
-17 -24 19 -11 -15 -15 -16 -15
-20 -25 30 -5 -15 -16 -19 -18
-23 -27 40 2 -14 -17 -22 -21
-26 -28 52 9 -14 -18 -25 -24
-29 -29 63 15 -14 -19 -27 -27
-28 -27 71 24 -10 -19 -28 -28
-25 -23 79 34 -5 -18 -28 -28
-22 -20 88 44 0 -17 -27 -28
-19 -16 96 54 4 -16 -27 -28
-16 -13 104 63 8 -15 -27 -28
3 11 86 71 27 6 -6 -8
22 35 65 79 48 27 16 14
42 60 44 87 67 49 38 34
61 85 23 95 88 69 61 56
80 109 3 103 107 91 82 76
93 149 -16 107 140 130 118 112
104 190 -34 110 173 169 156 149
115 231 -52 113 206 209 193 185
127 272 -70 116 239 247 230 222
138 313 -88 119 272 287 267 258
128 327 -92 105 276 298 275 267
115 339 -95 89 278 306 281 274
103 351 -97 72 279 314 287 281
91 363 -100 56 281 322 294 288
78 376 -102 39 282 330 300 296
60 339 -92 23 246 293 265 263
42 298 -79 7 205 251 225 226
22 257 -67 -10 165 209 185 189
3 216 -55 -26 126 167 146 152
-16 174 -43 -41 85 125 106 115
-21 148 -39 -50 63 102 86 96
-26 125 -36 -57 43 80 67 77
-30 100 -33 -64 23 59 49 59
-34 75 -30 -71 3 37 29 40
-38 51 -27 -78 -18 16 11 22
-37 38 -25 -73 -20 10 6 16
-35 26 -24 -66 -21 5 2 11
-33 14 -23 -58 -21 -2 -3 6
-31 2 -22 -51 -22 -7 -7 1
-29 -11 -21 -44 -22 -12 -11 -5
-27 -14 -18 -39 -23 -14 -12 -7
-26 -17 -14 -36 -22 -15 -13 -8
-24 -20 -11 -32 -22 -16 -14 -10
-23 -23 -8 -28 -21 -17 -15 -11
-22 -26 -5 -25 -21 -18 -16 -12
-21 -27 -4 -24 -19 -19 -17 -13
-22 -27 -3 -24 -18 -18 -17 -13
-23 -27 -3 -24 -16 -17 -17 -12
-24 -27 -2 -24 -15 -16 -17 -12
-25 -27 -2 -24 -14 -16 -17 -12
-25 -26 0 -24 -14 -15 -16 -12
-23 -27 0 -24 -15 -16 -16 -13
-21 -28 0 -25 -17 -17 -16 -14
-19 -29 0 -25 -18 -18 -16 -15
-17 -30 0 -25 -19 -19 -16 -16
-16 -31 1 -26 -20 -20 -16 -17
-16 -31 1 -27 -20 -20 -16 -17
-17 -31 1 -27 -20 -20 -16 -17
-17 -31 1 -28 -20 -20 -16 -17
-17 -31 1 -28 -20 -20 -16 -17
-18 -30 1 -29 -19 -20 -17 -18
-17 -30 2 -28 -18 -19 -17 -18
-17 -30 2 -27 -18 -19 -17 -18
-16 -30 3 -26 -17 -18 -17 -18
-16 -30 3 -26 -17 -18 -17 -18
-15 -31 4 -25 -16 -17 -17 -18
-16 -31 4 -25 -15 -17 -17 -18
-17 -30 4 -25 -15 -17 -17 -17
-18 -30 4 -25 -14 -17 -17 -17
-18 -30 4 -25 -14 -17 -17 -17
-19 -29 4 -26 -13 -16 -16 -16
-19 -30 4 -26 -13 -16 -17 -16
-18 -31 4 -25 -13 -17 -17 -16
-18 -32 4 -25 -13 -17 -18 -16
-18 -32 4 -25 -13 -17 -18 -16
-17 -33 3 -24 -13 -18 -19 -17
-17 -32 3 -24 -13 -18 -18 -17
-17 -31 3 -24 -13 -17 -17 -16
-17 -30 3 -24 -13 -17 -16 -16
-17 -29 3 -24 -13 -17 -16 -16
-17 -28 3 -23 -12 -16 -15 -15
-16 -29 3 -22 -12 -16 -15 -14
-16 -30 3 -21 -12 -16 -15 -13
-15 -31 3 -20 -12 -16 -15 -12
-15 -31 3 -19 -12 -16 -15 -12
-14 -32 4 -18 -11 -15 -15 -11
-14 -32 3 -18 -10 -15 -15 -11
-14 -32 3 -18 -9 -15 -15 -11
-14 -32 2 -18 -8 -15 -15 -11
