I II V1 V2 V3 V4 V5 V6
-7 -22 2 10 -31 -36 -42 225
-4 -14 3 13 -31 -38 -44 223
0 -13 2 15 -30 -38 -46 221
-11 -15 7 21 -25 -33 -42 224
-11 -18 4 20 -26 -36 -46 221
-3 -13 -1 18 -27 -38 -51 215
1 -9 -2 22 -24 -32 -45 217
3 -15 2 24 -22 -30 -46 219
1 -20 3 23 -26 -31 -49 217
-4 -24 1 26 -26 -30 -48 218
-20 -26 1 29 -23 -27 -44 222
-11 -17 3 36 -21 -26 -42 223
0 -9 2 35 -22 -30 -44 220
-13 -19 -3 29 -26 -35 -49 212
-11 -20 1 28 -25 -34 -47 213
0 -15 0 24 -29 -38 -51 207
-5 -14 1 25 -28 -36 -49 207
-10 -17 4 26 -27 -35 -48 211
-6 -7 4 28 -23 -32 -44 210
0 2 2 32 -19 -31 -41 210
-4 -5 -1 34 -22 -34 -43 212
-1 -12 -3 33 -26 -38 -47 208
2 -12 -1 35 -24 -36 -46 208
6 -10 -1 34 -24 -35 -46 205
-1 -17 -2 31 -26 -37 -47 203
-16 -22 -2 32 -27 -37 -48 202
-8 -14 -1 33 -26 -38 -46 199
3 -9 -2 33 -25 -37 -46 200
-4 -4 -2 37 -26 -37 -44 201
-9 -13 -3 37 -31 -39 -45 200
-4 -15 -2 40 -30 -39 -45 200
0 -13 -3 41 -32 -40 -47 197
4 -11 -4 43 -30 -38 -46 194
8 -8 -7 40 -29 -40 -48 192
3 -10 -6 39 -28 -40 -48 192
-2 -6 0 45 -26 -36 -45 194
-8 -11 -2 45 -27 -37 -44 192
-7 -9 -7 46 -26 -36 -43 193
-9 -10 -6 47 -28 -35 -41 196
-3 -10 -3 49 -29 -37 -43 193
7 -5 -5 50 -30 -38 -44 189
8 -4 -5 52 -30 -35 -43 192
-1 -7 -1 56 -26 -29 -38 195
-4 -3 1 59 -23 -25 -35 196
-1 -4 -5 54 -30 -30 -41 193
-6 -9 -7 54 -32 -32 -44 189
-2 -8 -11 52 -33 -34 -45 187
4 -10 -14 48 -38 -38 -49 182
3 -8 -11 48 -37 -38 -47 182
-8 -5 -3 57 -30 -32 -39 190
-8 -4 -3 57 -31 -33 -40 187
-9 -1 -3 59 -32 -34 -41 187
-10 -4 -4 60 -30 -33 -40 187
3 -2 -9 59 -33 -36 -41 183
10 -2 -8 56 -34 -37 -43 184
5 -1 -9 56 -33 -38 -43 182
-1 3 -7 59 -29 -35 -40 183
4 6 -11 58 -31 -37 -42 183
14 9 -14 55 -33 -38 -43 182
10 0 -12 58 -33 -38 -42 183
4 -7 -9 61 -30 -35 -38 184
-7 -10 -10 63 -28 -32 -37 184
-7 0 -5 69 -21 -26 -28 191
-6 2 -4 71 -22 -26 -27 190
1 3 -5 68 -23 -25 -28 191
6 7 -12 62 -31 -30 -32 187
-1 5 -9 67 -26 -25 -25 191
7 2 -9 70 -22 -20 -20 196
6 6 -9 70 -22 -19 -19 195
5 10 -12 70 -24 -21 -20 191
7 11 -14 72 -25 -21 -17 194
