I II V1 V2 V3 V4 V5 V6
-10 -4 0 15 5 -4 -5 -12
-8 -3 -2 12 3 -6 -6 -17
-9 -3 -2 12 2 -8 -8 -19
-6 -3 2 11 2 -7 -8 -18
-7 -4 -3 8 -3 -11 -11 -21
-7 -5 -4 8 -3 -11 -12 -22
-5 -7 -2 9 -2 -10 -11 -19
-4 -8 -1 10 -2 -10 -10 -19
-9 -7 -2 9 -2 -11 -11 -21
-8 -7 -3 7 -3 -12 -13 -23
-7 -6 -4 7 -3 -13 -13 -23
-10 -6 -3 7 -3 -12 -12 -23
-8 -9 -4 8 -3 -14 -14 -23
-8 -7 -3 8 -2 -13 -13 -21
-10 -6 -3 8 -4 -14 -13 -23
-11 -6 -3 7 -3 -14 -13 -24
-8 -7 -3 6 -4 -14 -14 -26
-7 -6 -3 6 -4 -14 -13 -27
-10 -5 -2 8 -4 -13 -13 -24
-11 -7 -2 8 -4 -14 -13 -23
-8 -8 -2 8 -3 -13 -14 -23
-8 -10 -3 7 -4 -14 -14 -23
-8 -12 -3 9 -2 -12 -13 -23
-10 -14 -3 8 -2 -12 -13 -23
-4 -6 -4 6 -5 -13 -14 -24
-8 -7 -4 4 -6 -14 -15 -26
-7 -6 -5 2 -8 -16 -17 -26
-5 -4 -2 7 -3 -12 -12 -23
-8 -10 -3 7 -5 -13 -13 -25
-10 -14 -2 8 -3 -12 -13 -24
-13 -17 -1 10 -3 -12 -12 -24
-13 -15 -3 7 -5 -15 -14 -27
-4 -7 1 12 -1 -13 -15 -28
-5 -4 9 21 5 -10 -15 -28
-12 -8 19 33 13 -7 -15 -31
-13 -5 29 43 23 -1 -12 -33
-16 -1 38 53 31 5 -13 -32
-13 8 47 62 40 11 -8 -30
-16 11 51 73 50 19 -1 -25
-17 13 56 89 63 32 11 -15
-6 22 59 100 76 45 24 -2
6 26 60 117 95 68 53 22
18 30 54 131 115 95 84 52
33 45 38 129 128 123 122 90
53 67 10 108 127 148 164 136
70 82 -19 76 115 168 204 179
87 95 -42 45 102 180 232 210
98 105 -59 21 91 193 257 236
107 116 -75 0 80 199 276 259
106 118 -84 -14 66 191 271 258
96 99 -89 -29 51 171 245 236
85 76 -92 -37 38 144 205 199
68 51 -90 -49 18 104 148 146
52 21 -82 -67 -13 54 83 86
29 0 -70 -99 -59 -1 24 35
