I II V1 V2 V3 V4 V5 V6
-9 -20 8 -11 -3 -10 -10 -12
-11 -18 5 -15 -6 -13 -14 -14
-11 -11 4 -15 -8 -14 -15 -16
-8 -9 6 -13 -7 -12 -14 -14
-6 -15 8 -12 -6 -10 -12 -11
-9 -21 9 -12 -7 -11 -12 -11
-13 -18 7 -15 -10 -13 -15 -14
-13 -13 3 -19 -13 -17 -18 -18
-12 -14 3 -19 -13 -18 -19 -19
-13 -21 6 -17 -10 -17 -17 -17
-15 -28 7 -15 -9 -15 -15 -17
-16 -26 6 -15 -8 -15 -14 -15
-15 -19 5 -15 -9 -14 -15 -16
-15 -17 5 -15 -11 -15 -15 -16
-14 -20 6 -16 -12 -15 -14 -16
-14 -20 6 -16 -12 -14 -14 -16
-12 -17 4 -17 -14 -15 -16 -18
-13 -16 5 -19 -15 -17 -17 -19
-14 -17 6 -20 -14 -18 -18 -19
-14 -21 7 -18 -12 -16 -17 -17
-12 -22 7 -18 -11 -16 -17 -16
-12 -23 6 -18 -12 -17 -17 -16
-14 -22 5 -18 -12 -16 -17 -16
-15 -20 5 -17 -12 -16 -16 -14
-13 -18 4 -18 -12 -16 -16 -14
-11 -17 4 -18 -13 -18 -17 -15
-12 -18 4 -19 -14 -19 -19 -17
-15 -21 6 -18 -12 -17 -17 -16
-16 -21 8 -18 -11 -16 -16 -15
-15 -22 8 -19 -12 -16 -16 -15
-15 -23 6 -20 -13 -17 -18 -17
-16 -23 5 -20 -13 -19 -19 -18
-14 -22 5 -20 -14 -19 -18 -17
-14 -20 6 -18 -13 -17 -17 -16
-16 -18 6 -18 -13 -17 -17 -16
-15 -14 5 -20 -15 -19 -19 -17
-12 -10 5 -21 -16 -19 -19 -17
-12 -14 4 -20 -15 -19 -20 -18
-14 -23 4 -19 -14 -17 -17 -16
-14 -26 7 -16 -11 -15 -15 -14
-11 -21 9 -15 -9 -13 -13 -12
-13 -21 7 -16 -10 -14 -14 -13
-17 -22 5 -16 -11 -15 -15 -15
-17 -20 7 -14 -10 -12 -12 -12
-13 -16 7 -14 -10 -12 -12 -11
-12 -15 5 -16 -13 -14 -15 -13
-15 -16 5 -17 -13 -15 -16 -14
-17 -16 5 -18 -13 -18 -18 -17
-16 -14 5 -18 -14 -18 -19 -17
-15 -14 5 -18 -14 -17 -18 -17
-15 -17 6 -17 -13 -17 -18 -16
-15 -18 7 -15 -12 -15 -16 -13
-14 -18 8 -11 -9 -12 -12 -10
-15 -21 10 -9 -8 -9 -11 -9
-15 -21 11 -11 -8 -9 -11 -11
-12 -16 10 -12 -9 -10 -12 -12
-9 -11 7 -15 -11 -13 -15 -15
-11 -13 7 -16 -12 -14 -16 -16
-14 -17 8 -15 -11 -14 -16 -15
-17 -18 8 -16 -10 -15 -17 -15
-18 -17 8 -16 -8 -17 -17 -15
-18 -15 8 -15 -8 -17 -17 -15
-17 -13 8 -14 -8 -16 -17 -14
-16 -15 10 -12 -7 -14 -16 -12
-15 -19 11 -11 -6 -13 -14 -11
-14 -20 11 -12 -7 -13 -14 -11
-14 -17 9 -14 -8 -14 -14 -12
-14 -13 8 -16 -9 -15 -17 -14
-14 -13 9 -16 -9 -16 -17 -15
-15 -15 11 -14 -7 -14 -16 -15
-14 -13 12 -12 -6 -12 -15 -14
-11 -12 14 -10 -4 -11 -13 -13
-11 -14 15 -9 -3 -10 -11 -12
-14 -13 14 -10 -4 -10 -11 -12
