I II V1 V2 V3 V4 V5 V6
-6 0 15 13 4 -6 8 -7
-8 6 14 10 2 -2 -4 -13
-11 10 15 12 3 0 -8 -15
-12 6 14 12 3 -6 -4 -13
-10 3 16 11 4 -10 1 -13
-8 -1 15 9 2 -10 -3 -11
-6 -3 14 10 1 -8 -3 -10
-13 -3 18 14 4 -6 3 -9
-16 -7 20 14 5 3 0 -7
-17 -6 20 14 5 -2 1 -8
-11 -4 18 14 3 -9 -1 -8
-8 -1 15 11 1 -12 -4 -6
-6 -3 16 11 1 -11 -1 -10
-7 -8 17 12 2 -10 -2 -10
-12 -10 20 15 5 -4 1 -5
-9 -6 18 13 5 -7 0 -9
-10 -4 18 13 4 -3 5 -5
-16 1 17 10 3 -5 3 -6
-16 3 18 11 3 -3 7 1
-12 6 14 9 -1 -7 -2 0
-13 6 14 10 -1 -10 -2 -14
-17 0 16 11 2 -9 -1 -13
-14 -10 20 16 5 -6 2 -6
-9 -10 18 14 4 -10 -2 -4
-9 -3 15 10 1 -12 -4 -10
-8 -3 14 9 1 -12 0 -15
-9 -5 16 10 2 -8 1 -10
-9 -8 17 9 3 -7 -4 -12
-5 -6 16 8 1 -7 1 -9
-11 -4 15 9 1 -8 -2 -16
-14 -1 15 10 2 -5 -6 -10
-17 0 18 12 5 4 1 -2
-18 3 13 7 -2 -3 0 -12
-12 2 9 5 -8 -8 -2 -16
-3 8 9 3 -10 -13 -6 -15
-5 8 10 3 -9 -8 -9 -19
-10 3 14 7 -4 0 -3 -12
-7 -2 13 4 -4 -5 -2 -11
-7 -5 12 5 -4 -6 -2 -4
-6 -6 13 6 -6 -9 -1 -4
-5 -7 11 7 -6 -7 -5 -11
-7 -8 14 10 -4 -7 -5 -9
-15 -8 16 12 -2 -6 -2 -7
-25 -8 18 14 0 1 0 -2
-31 -7 18 14 1 5 2 -1
-24 -7 16 11 -2 2 -1 -11
-17 -5 14 9 -3 -6 -3 -14
-17 -4 15 8 -1 -8 -3 -12
-19 -8 16 10 0 -7 5 -14
-15 -1 13 9 -4 -4 0 -14
-10 3 9 5 -7 -7 -9 -18
-12 1 9 4 -8 -13 -11 -10
-13 -1 11 5 -6 -13 -6 -7
-11 -3 10 5 -8 -15 -7 -15
-9 -2 8 3 -8 -11 1 -20
-9 0 9 3 -7 -14 0 -15
-17 1 12 7 -4 0 -5 -6
-16 3 12 8 -3 -7 -3 -10
-13 -1 10 6 -4 -7 -6 -16
-9 -11 12 7 -5 -2 -5 -16
-7 -10 13 8 -5 -2 -4 -16
-8 -9 12 6 -6 1 0 -12
-15 -7 14 8 -4 -8 1 -12
-18 -8 16 9 -4 -9 -1 -11
-17 -7 13 7 -4 -12 -2 -11
-15 -3 10 4 -9 -14 0 -9
-21 -2 12 8 -6 -3 -2 -16
-24 -3 16 11 -2 4 -1 -9
-15 -3 15 9 -2 -2 9 -8
-11 -6 16 10 -4 -7 6 -7
-10 -5 16 11 -3 -1 -2 -11
-7 0 17 10 -2 -9 -2 -12
-4 0 17 12 -2 1 2 -13
-4 2 20 14 -1 -1 1 -9
-1 6 20 13 2 1 -2 -1
-2 12 20 13 1 7 -1 -2
-4 13 22 16 3 8 6 2
-17 10 27 22 9 12 12 4
-16 9 27 21 7 9 11 5
-5 8 22 16 0 1 4 -3
-8 8 21 16 -1 0 13 1
-11 12 19 17 2 9 18 1
-4 20 10 11 -3 9 3 -8
-6 17 10 11 -4 9 2 -9
-9 13 11 13 -2 6 10 -7
-14 12 10 12 0 1 10 -6
-6 10 9 9 -2 2 2 -1
-1 8 11 10 -2 3 3 -1
-5 5 11 11 0 7 6 -2
-4 6 12 13 1 11 11 -1
-7 5 11 15 1 4 8 3
-4 4 10 12 -2 3 5 5
-3 3 10 12 -3 2 5 2
-4 2 9 11 -5 2 7 6
0 4 6 8 -6 6 2 -10
0 8 5 7 -7 1 3 -10
2 8 3 4 -9 -6 5 -14
-2 5 5 3 -11 -4 5 -10
-6 2 7 5 -9 -6 2 -11
-3 5 4 3 -14 -10 0 -13
0 4 3 2 -14 -13 -3 -13
-5 -2 6 2 -12 -10 -2 -16
-11 -6 7 2 -12 -7 -1 -12
-11 -10 10 5 -10 -3 0 -13
-12 -9 9 5 -9 -7 -5 -17
-18 -2 10 4 -8 -7 -6 -21
-25 -5 14 8 -5 -2 1 -15
-24 -7 13 6 -7 2 3 -11
-19 -9 10 4 -9 1 3 -16
-20 -9 9 4 -11 1 -4 -18
-19 -4 9 4 -11 1 -5 -15
-20 -6 11 4 -11 -5 -3 -20
-27 -4 9 3 -12 -6 -1 -18
-26 -8 11 5 -10 -5 -2 -13
-23 -13 12 5 -9 2 -3 -10
-22 -10 10 3 -8 0 -4 -9
-21 -5 9 3 -8 -4 -4 -12
-15 -3 4 -3 -15 -9 -8 -18
-11 -4 2 -4 -19 -11 -3 -24
-16 -3 7 0 -16 -7 -2 -17
-21 1 7 1 -15 -2 -5 -15
-18 0 7 1 -17 -1 -7 -16
-22 -3 7 1 -16 -2 -4 -16
-31 -10 12 6 -13 -7 1 -17
-33 -17 15 11 -7 1 6 -16
-29 -15 14 10 -7 8 8 -15
-28 -11 13 9 -9 3 -1 -15
-23 -10 11 6 -10 -5 0 -8
-25 -7 12 6 -10 -4 -1 -14
-28 -3 14 8 -11 10 -1 -10
-23 -5 10 4 -15 7 -4 -15
-18 -9 6 1 -17 1 -8 -18
-19 -8 7 1 -17 1 -2 -19
-21 -4 6 -1 -19 -1 -2 -19
-20 -4 5 -1 -19 -4 -6 -24
-23 -8 10 1 -15 3 -4 -13
-24 -12 9 1 -15 5 -6 -8
-26 -12 12 4 -13 8 -2 -14
-31 -13 16 7 -10 11 -1 -19
-26 -12 21 11 -10 5 -1 -16
-23 -10 27 18 -7 6 1 -7
-25 -5 34 27 -6 17 -2 -12
-24 0 44 40 -3 15 -6 -7
-18 -5 56 59 4 15 -10 -14
-8 -3 65 77 12 12 -6 -16
8 2 73 96 18 13 -5 -21
8 7 87 117 27 17 -3 -24
10 22 94 134 39 23 9 -13
21 45 99 157 60 48 32 10
37 67 97 173 80 73 55 30
56 100 68 127 85 94 80 60
76 132 12 32 75 122 114 94
91 161 -46 -55 71 147 159 132
107 193 -93 -121 73 168 188 171
102 187 -103 -152 81 179 195 180
95 172 -112 -177 85 187 195 166
91 167 -140 -216 84 191 198 166
83 167 -179 -259 78 199 204 169
75 169 -196 -283 78 205 199 175
62 152 -197 -287 75 198 190 156
41 119 -193 -288 60 174 161 125
24 76 -178 -267 40 131 109 82
2 28 -156 -232 19 85 56 39
-24 -12 -128 -209 -17 25 4 -2
-48 -46 -100 -201 -63 -29 -34 -37
-66 -69 -82 -192 -98 -55 -50 -54
