I II V1 V2 V3 V4 V5 V6
-3 2 -2 -3 -2 -2 -2 -8
-3 3 1 -2 -2 -3 -3 -5
-4 -1 0 -2 -3 -3 -2 1
-3 1 1 -1 -2 0 -3 -1
-3 1 2 -1 -1 -2 -3 -6
-5 1 2 -2 -2 -2 -3 -7
-5 2 1 -3 -2 -1 -2 -3
-6 1 0 -3 -1 0 -3 0
-5 0 -1 -2 -1 -1 -3 -4
-4 1 -1 -2 -2 2 -4 -2
-3 2 -2 -3 -2 4 -4 -5
-1 4 0 -1 -1 0 -2 3
-2 4 -1 -2 -1 -2 -2 11
-2 3 -2 -1 -2 0 -2 1
-2 2 1 1 1 4 -1 -6
-3 2 2 1 0 1 -4 -7
-3 0 1 0 0 3 -4 -8
1 3 1 0 -1 0 -3 -5
-3 0 -1 -2 -1 1 -4 -7
-3 0 -2 -3 -2 -1 -4 -9
-2 -1 0 -2 -1 -2 -2 -9
-3 -2 -3 -2 -3 2 -4 -10
0 1 -3 -1 0 1 -2 -8
1 3 -3 2 1 2 -1 -1
2 4 -1 5 5 3 2 2
4 8 1 7 7 7 4 5
4 9 2 7 7 8 4 7
4 10 4 10 9 8 5 4
3 9 4 9 10 8 6 6
3 7 4 10 9 7 6 1
4 7 7 13 12 10 8 1
4 9 4 13 12 11 7 0
4 6 3 14 13 12 7 9
5 5 5 15 14 12 9 3
6 6 2 13 12 14 8 0
7 8 1 11 11 14 7 4
7 6 -1 8 8 9 6 10
7 7 -4 5 7 9 5 5
8 10 -3 5 7 8 7 6
8 11 -4 2 4 7 6 4
8 9 -6 -1 4 8 6 5
8 6 -6 -3 0 1 3 2
6 2 -9 -7 -4 -5 -2 -5
7 1 -10 -7 -4 -4 -1 -5
7 -1 -9 -6 -2 -1 1 -4
7 -2 -9 -6 -2 3 1 2
9 0 -7 -5 -3 1 -1 0
7 0 -7 -6 -3 0 -2 -6
7 0 -7 -6 -4 -1 -1 -5
8 2 -5 -6 -4 -1 -1 1
8 0 -6 -6 -3 -2 0 -2
9 1 -6 -4 -1 3 2 -2
9 1 -7 -4 -2 4 -1 -2
7 1 -7 -3 -1 -2 -2 -4
8 2 -5 -2 -1 2 -1 0
5 1 -5 -4 -2 1 -2 0
5 -1 -8 -7 -5 -3 -3 0
4 1 -5 -4 -4 1 -2 2
0 0 -3 -3 -2 0 1 0
-1 -1 -1 -2 -1 4 1 0
-2 -1 1 -1 0 6 1 -3
-4 -3 1 -1 -1 0 -1 -6
-4 -4 0 -2 0 -1 -1 -4
-6 -5 -1 -2 -2 2 -3 -5
-5 -4 1 -2 -1 -3 -3 -9
-5 -3 0 -1 -2 -4 -4 -5
-6 -4 -2 -3 -2 -2 -4 -8
-5 -4 -1 -3 -2 -3 -5 -4
-6 -5 -2 -4 -4 -3 -6 -4
-3 -2 -1 -3 -3 -3 -5 -6
-3 -3 3 -3 -2 -4 -3 -7
-6 -7 2 -4 -5 -4 -5 -9
-5 -5 2 -4 -3 1 -3 -6
-5 -4 6 -1 0 1 -1 3
-6 -5 5 -1 0 -1 -2 -4
-7 -4 4 0 0 -1 -2 -5
-7 -5 3 -1 0 1 -2 2
-8 -5 2 1 0 2 -2 -3
-7 -5 3 1 2 3 0 -3
-7 -4 3 0 -1 8 -2 -6
-6 -4 4 1 0 5 -1 -3
-7 -4 5 0 -1 -2 -3 -5
-7 -4 4 -1 -2 -4 -3 -8
-7 -4 6 3 1 -1 -2 -1
-10 -4 12 9 6 7 -1 1
-15 0 19 18 12 10 -1 -6
-22 3 28 31 21 10 -1 -10
-28 2 35 41 29 15 0 -14
-27 4 38 46 35 21 3 -12
-25 6 38 54 44 32 9 -6
-22 7 40 69 59 42 20 -1
-16 14 44 92 81 59 35 12
-8 22 49 113 104 79 58 37
7 30 47 126 125 103 84 57
27 36 42 133 142 128 113 85
47 45 26 121 147 147 141 120
69 57 13 110 156 171 175 161
95 68 -2 100 166 200 211 195
122 87 -19 82 170 222 243 230
148 98 -39 53 162 236 265 264
167 101 -56 21 141 225 265 280
179 94 -75 -31 90 179 236 270
181 78 -93 -88 25 122 181 229
169 60 -108 -145 -38 62 126 190
146 47 -116 -196 -99 0 72 140
117 31 -126 -242 -152 -49 21 91
87 10 -143 -293 -216 -108 -34 39
64 -8 -157 -334 -270 -161 -81 -1
52 -23 -168 -359 -304 -197 -112 -30
43 -39 -181 -366 -318 -211 -133 -54
36 -55 -181 -350 -312 -216 -143 -68
26 -62 -172 -321 -293 -217 -147 -79
20 -63 -154 -285 -267 -203 -143 -80
14 -62 -135 -247 -236 -183 -132 -78
9 -63 -119 -215 -210 -165 -125 -82
8 -61 -105 -185 -185 -149 -118 -80
4 -59 -92 -162 -165 -137 -110 -79
3 -53 -81 -142 -147 -127 -100 -76
3 -46 -67 -119 -125 -110 -86 -64
0 -42 -56 -99 -106 -91 -74 -58
-2 -37 -46 -83 -90 -74 -63 -49
-5 -36 -36 -67 -76 -63 -56 -42
-7 -32 -28 -52 -60 -53 -48 -43
-10 -28 -20 -37 -45 -41 -36 -32
-10 -23 -13 -27 -34 -33 -29 -20
-10 -19 -10 -21 -27 -28 -25 -21
-11 -17 -7 -17 -24 -23 -22 -23
-11 -17 -4 -15 -23 -22 -21 -25
-11 -14 -2 -13 -21 -24 -21 -24
-12 -13 0 -10 -20 -21 -21 -16
-13 -12 1 -8 -17 -17 -20 -15
-14 -12 3 -6 -13 -14 -18 -19
-15 -13 3 -4 -11 -11 -18 -23
-15 -12 4 -4 -10 -9 -16 -23
-16 -12 4 -3 -9 -14 -16 -19
-16 -13 2 -5 -11 -15 -17 -19
-15 -10 3 -3 -9 -13 -15 -16
-13 -9 3 -2 -9 -11 -12 -9
-13 -9 3 -1 -9 -13 -14 -16
-13 -8 6 0 -7 -13 -15 -17
-14 -8 6 1 -7 -13 -14 -19
-14 -9 6 1 -6 -13 -14 -16
-12 -7 8 3 -4 -9 -13 -15
-14 -7 7 2 -4 -9 -10 -13
-14 -8 8 4 -4 -8 -11 -14
-15 -10 7 2 -4 -9 -12 -19
-15 -9 6 1 -5 -9 -14 -22
-13 -8 6 1 -7 -11 -14 -21
-13 -9 6 2 -6 -11 -16 -21
-13 -10 8 3 -4 -11 -14 -17
-13 -10 10 4 -5 -9 -15 -15
-13 -10 8 3 -5 -6 -14 -20
-13 -8 10 5 -2 -7 -13 -17
-14 -9 12 4 -2 -7 -12 -14
-13 -9 10 4 -4 -8 -12 -10
-14 -9 9 2 -4 -9 -13 -11
-16 -10 8 2 -4 -4 -14 -10
-15 -9 8 2 -6 -7 -13 -12
-14 -8 9 4 -5 -10 -13 -15
-16 -11 9 3 -5 -12 -14 -21
-15 -11 9 5 -4 -11 -13 -22
-15 -10 10 5 -3 -10 -12 -21
-14 -8 10 6 -1 -8 -12 -21
-13 -6 11 5 0 -6 -10 -15
-14 -5 10 5 -2 -2 -10 -10
-13 -4 9 3 -3 -2 -11 -11
-14 -7 9 3 -3 -7 -12 -18
-14 -10 7 3 -3 -10 -12 -19
-13 -9 8 6 -3 -9 -11 -14
