I II V1 V2 V3 V4 V5 V6
10 12 10 -6 -32 4 -10 -46
0 11 16 -2 -32 4 -10 -45
-13 8 14 -8 -33 3 -9 -39
-7 8 11 -4 -32 3 -9 -35
-13 1 10 -10 -27 3 -8 -33
-18 0 7 -4 -31 -1 -9 -39
-5 -2 -2 -14 -38 -6 -16 -46
21 -6 -18 -25 -45 -14 -24 -47
35 -2 -18 -18 -39 -13 -24 -56
36 3 -10 -12 -31 -7 -18 -48
33 13 0 -12 -30 -7 -18 -39
27 4 -11 -8 -29 -6 -17 -33
24 6 -17 -16 -41 -10 -20 -41
21 10 -20 -22 -48 -16 -25 -42
18 25 -24 -18 -51 -18 -25 -47
18 24 -22 -24 -49 -18 -24 -50
12 10 -14 -17 -47 -18 -25 -48
6 -1 -16 -19 -43 -14 -22 -43
12 -4 -11 -15 -38 -6 -17 -35
10 2 -11 -6 -35 -2 -17 -36
10 3 -16 -13 -41 -7 -22 -48
16 -5 -16 -11 -42 -8 -24 -56
12 -12 -2 -2 -33 -3 -19 -48
6 -20 -2 -4 -34 -5 -20 -51
12 -14 -12 -13 -45 -13 -24 -44
10 -11 -17 -20 -44 -16 -26 -50
4 -14 -19 -24 -50 -21 -32 -50
-1 -20 -22 -24 -51 -23 -33 -63
2 -18 -26 -15 -47 -20 -31 -52
3 -14 -17 -4 -40 -17 -29 -39
4 -16 -11 -6 -36 -14 -26 -41
6 -14 -9 -10 -32 -15 -26 -41
8 -11 -14 -8 -38 -13 -23 -46
12 -12 -9 -10 -45 -17 -29 -43
18 -13 -6 -2 -47 -22 -31 -41
10 -10 -8 -7 -45 -28 -36 -50
7 -16 -7 -11 -41 -30 -36 -31
6 -20 -8 -9 -46 -32 -39 -32
1 -14 -8 -9 -43 -31 -38 -36
-5 -14 -20 -11 -46 -35 -42 -42
-1 -17 -22 -10 -44 -37 -43 -48
-6 -19 -8 -2 -41 -35 -40 -45
-17 -21 -4 -4 -33 -31 -34 -22
-4 -24 -11 -10 -40 -33 -34 -23
13 -19 -14 -15 -43 -35 -32 -35
8 -10 -7 -13 -37 -32 -29 -30
-5 -16 -9 -9 -40 -36 -31 -36
-16 -19 -6 -17 -44 -42 -38 -41
-17 -19 -8 -10 -39 -36 -32 -36
-12 -18 -7 -8 -37 -34 -32 -39
2 -14 -14 -10 -38 -41 -39 -56
11 -20 -20 -14 -38 -43 -41 -55
7 -18 -7 -11 -39 -42 -39 -41
5 -17 -1 -10 -37 -40 -39 -39
7 -14 -5 -2 -34 -36 -33 -46
3 -12 -10 -4 -34 -33 -30 -54
6 -10 -10 -9 -35 -35 -32 -52
2 -15 -4 -6 -32 -34 -31 -52
-5 -17 -4 -2 -28 -32 -31 -50
-4 -15 -1 -4 -29 -32 -32 -44
-7 -27 -1 -1 -28 -31 -31 -51
-11 -32 -4 0 -25 -31 -33 -55
-18 -31 0 3 -24 -31 -35 -52
-20 -18 3 4 -32 -35 -40 -58
-19 -12 11 10 -20 -33 -38 -62
-12 -9 23 16 -21 -31 -40 -58
-8 -6 27 18 -17 -24 -34 -54
-2 -15 21 39 -3 -10 -23 -63
7 -23 17 44 12 9 -11 -55
13 -20 16 52 27 30 3 -35
20 -27 26 77 54 64 31 -1
25 -29 20 90 80 96 57 10
37 -13 8 95 108 133 88 27
55 1 -12 86 123 164 114 41
71 5 -31 77 141 189 135 53
86 18 -45 66 143 205 149 62
101 21 -59 50 133 203 150 67
98 30 -73 25 110 186 142 63
87 21 -70 6 82 153 120 54
75 9 -69 -14 45 103 79 34
52 -12 -66 -42 15 54 34 10
25 -27 -86 -76 -24 7 -8 -17
18 -32 -115 -133 -83 -47 -48 -51
14 -47 -129 -176 -141 -96 -81 -72
4 -59 -145 -207 -192 -133 -104 -82
-6 -65 -150 -241 -233 -167 -126 -101
-10 -71 -150 -256 -251 -187 -138 -96
-9 -67 -151 -241 -251 -188 -140 -107
-11 -50 -137 -220 -220 -167 -125 -101
-24 -42 -123 -187 -191 -145 -110 -83
-34 -38 -113 -160 -169 -129 -100 -79
-26 -26 -91 -136 -146 -110 -85 -65
-19 -10 -75 -111 -122 -93 -73 -54
-13 -1 -63 -101 -106 -81 -65 -54
-2 1 -53 -74 -95 -69 -57 -58
-4 -6 -39 -55 -75 -59 -48 -55
-7 -14 -28 -35 -56 -47 -39 -47
-3 -13 -29 -35 -51 -41 -37 -41
-1 -6 -24 -19 -36 -30 -30 -29
5 -3 -18 -10 -28 -20 -26 -31
4 -4 -15 -8 -25 -18 -26 -44
11 1 0 1 -21 -14 -24 -44
10 -8 13 12 -13 -5 -15 -31
1 -10 8 4 -17 -6 -15 -30
0 -7 0 -1 -21 -9 -17 -36
-4 -9 -1 0 -21 -11 -21 -43
-8 -6 0 0 -17 -12 -23 -47
-7 -4 -7 -3 -17 -9 -24 -53
-16 -17 3 5 -11 -1 -20 -44
-8 -10 3 6 -10 -2 -23 -34
-1 -15 3 9 -11 -1 -25 -40
2 -16 4 14 -5 1 -25 -43
3 -8 6 16 0 10 -17 -33
-1 -11 14 22 -2 13 -17 -34
-1 -18 13 19 -2 9 -18 -30
2 -17 6 19 2 11 -17 -31
6 -9 3 30 -1 9 -17 -28
3 -1 6 23 0 7 -19 -26
2 -7 16 28 2 6 -21 -21
3 -18 16 28 1 1 -26 -18
3 -17 2 30 1 1 -28 -12
8 -5 1 32 3 -1 -28 -10
6 -2 13 27 9 2 -23 -1
-6 -5 24 30 9 3 -21 -7
-18 -12 24 44 7 5 -15 0
-18 -14 24 42 12 6 -12 6
-3 -9 22 45 14 7 -11 6
7 -14 17 37 5 -2 -19 -3
4 -18 21 39 1 -4 -19 6
-3 -25 19 41 4 -3 -18 11
-3 -23 9 38 -1 -8 -22 -2
-1 -18 8 40 0 -11 -23 -6
3 -13 14 44 3 -11 -20 -2
3 -6 15 50 2 -10 -20 8
6 -5 21 43 7 -11 -17 23
4 -3 20 51 9 -6 -13 23
-1 -11 16 53 5 -3 -11 13
1 -9 7 43 0 -7 -17 7
8 -4 6 48 0 -5 -14 24
7 -3 11 47 7 -4 -15 33
8 -4 9 44 2 -6 -16 22
15 6 3 42 0 -5 -16 14
10 -7 10 47 8 1 -11 21
-1 -16 4 45 4 -2 -17 13
3 -9 7 36 4 -4 -17 5
3 -5 14 39 6 -1 -17 10
4 -3 11 47 13 1 -15 14
5 0 5 41 10 2 -15 14
3 -1 11 52 16 7 -12 21
-1 -16 16 61 24 13 -7 19
0 -14 16 48 18 10 -10 19
1 -6 5 48 18 8 -13 23
1 -11 16 57 23 9 -10 34
-4 -16 14 53 18 6 -13 48
-1 -9 10 56 16 4 -14 37
-2 -4 8 62 23 10 -10 38
1 9 7 69 28 8 -12 39
4 3 5 67 25 6 -15 32
3 1 1 64 26 7 -17 31
12 8 6 71 29 9 -15 40
10 -3 13 80 34 16 -9 51
-1 -6 21 75 36 21 -7 55
-5 -7 20 83 44 24 -1 54
-11 -11 20 85 42 23 -1 53
-3 -8 10 78 33 15 -8 54
5 -7 12 81 32 15 -7 54
7 -5 14 79 37 17 -6 59
10 2 10 74 36 17 -7 50
21 -2 6 76 36 19 -6 49
22 -7 11 77 34 20 -4 61
13 -12 20 82 43 28 2 64
7 -13 22 88 46 33 5 54
10 1 22 81 41 31 4 53
11 0 23 94 48 36 7 70
4 -4 18 96 51 35 8 67
9 4 9 85 47 33 5 53
13 9 16 85 56 40 11 54
2 13 10 87 52 38 8 60
4 15 4 89 55 37 7 53
19 3 14 94 68 40 9 60
31 4 16 96 60 40 8 63
26 6 18 103 65 47 16 66
21 6 23 108 72 53 21 51
18 5 18 109 71 54 24 59
19 11 26 106 70 53 25 62
22 10 18 102 68 50 24 56
22 10 11 107 71 53 25 63
19 14 10 114 71 53 25 52
19 10 14 119 75 55 27 62
21 11 11 126 82 62 32 73
20 20 9 127 85 63 31 60
25 18 17 136 89 69 38 64
