I II V1 V2 V3 V4 V5 V6
16 0 -9 -4 -5 -1 3 7
12 -1 -10 -5 -7 -2 1 17
11 -1 -8 -5 -7 -2 1 8
11 2 -7 -5 -6 -2 1 7
10 4 -6 -6 -7 -2 1 4
8 5 -5 -6 -7 0 1 2
7 2 -2 -5 -6 2 1 2
6 0 0 -4 -6 3 1 9
6 -2 2 -3 -6 0 1 4
4 1 1 -4 -6 -3 -1 -2
4 5 2 -4 -6 1 -1 3
3 5 2 -4 -7 -1 -1 3
2 2 3 -3 -4 -1 0 1
2 6 4 -2 -1 0 0 5
0 5 5 -2 -3 3 0 8
0 4 6 -2 -3 2 0 -1
-1 8 6 -3 -4 1 -2 -1
-2 3 5 -3 -4 -1 -3 0
-2 -1 8 1 -1 1 1 4
-3 -2 7 2 -1 0 0 3
-4 -3 7 1 -2 -2 -2 -2
-4 -2 8 2 0 1 -1 -4
-4 1 7 2 1 2 -1 -5
-4 2 8 2 2 2 -1 2
-5 2 10 4 3 3 1 3
-7 2 10 3 2 6 0 0
-5 2 11 4 4 5 1 -3
-4 0 10 4 2 5 0 2
-6 3 10 3 1 5 -1 -1
-7 4 10 5 3 2 0 3
-7 2 9 4 2 3 -1 2
-6 1 8 3 1 2 -2 -5
-6 0 9 4 3 2 0 -1
-6 -3 10 5 5 1 0 1
-3 0 10 4 3 3 0 0
-3 6 7 2 2 2 -2 5
-4 10 5 1 1 0 -3 5
-5 3 9 3 2 0 -2 -2
-6 -3 11 5 4 -1 0 2
-5 -2 10 5 3 -1 -2 5
-6 -1 11 4 1 -1 -3 2
-7 0 8 1 -2 -3 -6 -4
-6 -1 8 2 1 -3 -4 -6
-6 2 7 3 1 -3 -4 -3
-7 4 8 3 1 -2 -2 -1
-5 4 8 2 0 0 -2 1
-6 1 8 0 0 -3 -4 2
-6 2 8 1 -1 -4 -5 2
-4 4 9 2 0 -4 -4 0
-5 1 9 3 -1 -5 -5 -5
-6 2 9 3 -2 -2 -5 2
-7 -1 10 3 -1 -1 -4 1
-8 -2 9 3 0 -1 -3 -1
-7 2 8 3 0 -2 -4 2
-6 -1 8 3 -1 -4 -4 4
-9 -3 10 4 0 -2 -2 -4
-8 -1 9 5 1 -2 -2 1
-7 -7 11 6 1 -1 -1 -2
-5 -2 11 5 1 -2 -2 -6
-6 2 11 6 0 2 -4 -6
-6 0 11 6 1 0 -4 -5
-7 -6 13 9 3 1 -2 -4
-8 -4 11 8 3 -1 -2 -1
-7 0 11 7 3 -2 -3 -3
-7 -4 12 7 3 0 -1 -1
-9 -6 13 8 4 1 -1 -1
-8 -2 12 7 3 0 -2 1
-8 0 12 7 2 1 -3 4
-6 5 12 7 2 -2 -3 4
-7 5 13 9 2 1 -3 4
-8 2 14 9 3 1 -3 -2
-7 2 14 9 2 3 -3 0
-4 4 15 10 4 2 -1 0
-6 -3 17 12 7 3 1 4
-7 -3 17 13 7 7 1 1
-8 -2 16 12 7 4 1 -5
-9 3 16 11 6 3 0 0
-7 8 15 10 4 2 -2 0
-9 1 17 12 7 3 0 5
-8 -6 19 16 10 7 4 7
-7 2 17 13 7 2 1 2
-6 7 15 11 4 4 -2 -1
-6 3 16 14 8 8 2 2
-7 3 16 13 7 4 2 -2
-8 2 17 14 8 4 4 -1
-8 0 18 14 10 5 5 4
-9 1 17 13 8 4 3 1
-7 1 19 14 8 5 3 4
-6 6 17 13 7 5 2 -1
-8 8 15 11 6 5 1 -5
-8 5 16 11 5 4 0 -2
-8 4 15 11 5 1 1 0
-7 4 17 12 8 4 3 -1
-7 6 18 12 8 4 3 2
-7 4 18 11 8 4 3 6
-7 7 17 10 7 3 2 3
-7 4 17 11 7 4 3 3
-7 2 17 10 5 7 2 2
-6 6 16 9 5 8 1 -6
-7 6 16 8 4 5 1 -5
-8 4 15 8 5 0 1 0
-6 11 13 6 3 -1 -1 3
-8 5 15 9 6 2 2 3
-8 3 17 9 7 6 4 3
-7 -1 17 9 7 9 4 3
-8 -1 18 10 8 8 5 2
-6 2 17 10 8 5 5 0
-6 5 15 8 4 4 2 5
-7 5 14 6 4 2 1 0
-6 5 14 6 4 2 1 -5
-7 4 14 6 3 1 0 1
-8 2 15 7 4 2 1 -2
-9 0 14 7 5 1 1 5
-8 4 13 5 3 2 0 4
-6 4 13 4 3 0 0 2
-8 0 14 6 4 2 2 1
-8 3 12 5 2 2 1 -1
-7 5 13 5 2 -2 0 6
-6 3 13 4 2 -3 1 -2
-8 -1 14 5 4 1 3 -2
-8 -2 14 6 3 2 1 -8
-7 4 11 3 0 -4 -2 -11
-6 7 9 2 0 -2 -2 -10
-7 7 10 3 1 0 -1 -1
-8 6 11 3 2 -3 -1 2
-7 0 13 6 4 0 2 11
-6 2 13 5 3 2 1 3
-5 8 14 6 4 1 1 4
-6 5 17 8 6 3 4 0
-6 5 17 9 7 5 5 -2
-7 12 16 7 6 1 3 -2
-8 13 17 9 8 2 4 3
-8 15 17 10 8 3 5 8
-8 18 16 8 8 2 4 7
-8 19 15 7 7 3 4 5
-6 20 16 7 7 5 5 1
-5 18 16 8 7 3 6 -3
-5 14 19 11 8 5 8 2
-5 12 22 12 9 8 8 8
-5 16 21 9 8 7 7 2
-3 27 17 7 5 9 4 -3
-2 34 14 4 3 1 1 -4
-4 19 17 8 7 3 6 -4
-5 8 21 12 12 9 11 2
-4 13 20 11 11 12 10 3
-4 23 17 8 9 7 9 8
-3 27 16 8 10 10 12 12
-1 23 16 8 11 10 13 9
0 23 16 9 12 12 14 14
1 30 13 5 8 7 10 9
1 32 10 4 6 4 8 4
3 30 10 4 8 4 10 2
4 30 8 4 6 5 10 10
5 27 9 4 9 7 11 10
6 28 9 6 9 6 11 9
6 24 10 7 10 9 15 8
9 23 9 7 10 9 14 10
8 19 10 8 10 8 13 20
6 16 8 7 8 7 11 12
6 16 8 7 8 5 11 8
4 16 8 7 8 7 11 9
3 15 9 7 8 6 10 0
3 11 9 7 7 5 9 3
0 7 7 3 4 7 6 3
1 6 4 -2 0 7 3 -2
-4 4 3 -4 -3 -2 0 -7
-8 -2 3 -5 -3 -4 2 1
-8 -5 5 -2 -1 -3 2 -3
-10 -3 4 -3 -4 -4 -1 -5
-12 -4 4 -3 -4 -6 -1 -9
-12 -4 5 -2 -5 -6 -2 -10
-10 -6 4 -3 -6 -4 -3 -13
-8 -2 4 -5 -7 -7 -4 -15
-10 -1 3 -6 -8 -11 -6 -15
-12 -5 2 -7 -8 -7 -5 -16
-9 -5 2 -8 -8 -10 -5 -9
-11 -12 6 -5 -4 -6 -1 -7
-11 -13 5 -5 -5 -7 -2 -9
-11 -11 4 -5 -6 -11 -3 -13
-13 -8 3 -7 -8 -12 -5 -9
-11 -8 3 -8 -9 -11 -6 -12
-13 -12 2 -8 -8 -12 -5 -11
-12 -9 3 -8 -8 -8 -6 -6
-11 -6 3 -9 -9 -9 -6 -7
-13 -4 1 -9 -10 -13 -7 -13
-12 -8 2 -9 -8 -4 -5 -16
-10 -12 5 -6 -5 0 -2 -11
-9 -6 1 -9 -9 -12 -5 -13
-9 -4 3 -9 -9 -11 -5 -15
-11 -5 2 -9 -9 -7 -7 -10
-12 -10 2 -8 -9 -5 -6 -4
-11 -10 4 -6 -6 -8 -4 -8
-14 -14 3 -7 -6 -5 -4 -6
-14 -10 2 -8 -7 -10 -6 -13
-13 -8 2 -7 -6 -8 -5 -16
-12 -8 2 -8 -6 -7 -5 -12
-12 -8 5 -5 -6 -8 -4 -13
-14 -8 7 -4 -6 -11 -6 -20
-16 -4 9 -4 -7 -13 -9 -20
-20 -1 17 0 -7 -15 -11 -12
-25 -3 28 7 -7 -19 -15 -22
-32 -13 48 24 2 -13 -15 -17
-39 -14 69 40 8 -13 -14 -17
-46 -9 84 51 15 -10 -12 -19
-45 8 94 63 25 2 -4 -14
-42 25 103 77 38 13 5 -5
-33 34 105 91 52 28 17 4
-20 39 98 99 66 43 28 14
-3 46 76 98 78 59 41 22
14 63 51 87 89 75 61 42
33 77 16 62 98 95 84 59
55 91 -26 32 105 120 112 86
78 107 -66 14 119 149 139 111
97 126 -102 2 136 178 164 135
108 152 -135 -14 149 203 191 160
121 171 -165 -33 157 222 211 175
129 161 -181 -40 166 231 216 177
132 150 -187 -46 168 230 211 169
128 136 -195 -59 154 215 194 152
120 110 -195 -74 123 177 163 126
110 81 -190 -104 65 121 120 97
92 53 -190 -151 -10 51 71 62
77 32 -195 -191 -70 -4 36 37
69 14 -200 -219 -116 -45 5 14
56 -4 -194 -220 -139 -71 -21 0
45 -20 -179 -209 -142 -78 -33 -16
32 -26 -166 -199 -143 -92 -45 -30
20 -29 -151 -185 -141 -99 -54 -40
12 -34 -129 -162 -129 -91 -54 -36
2 -44 -109 -140 -112 -81 -50 -27
-4 -43 -94 -123 -101 -75 -47 -38
-5 -36 -78 -105 -88 -69 -45 -37
-6 -36 -64 -87 -74 -58 -40 -31
-6 -36 -49 -68 -59 -50 -34 -26
-7 -33 -35 -50 -46 -42 -29 -27
-5 -29 -26 -38 -38 -36 -26 -24
-6 -22 -20 -32 -32 -31 -22 -21
-10 -15 -18 -29 -30 -31 -23 -24
-12 -14 -14 -23 -27 -26 -21 -26
-12 -18 -9 -19 -22 -23 -17 -23
-12 -24 -7 -18 -19 -21 -15 -19
-11 -23 -4 -15 -17 -18 -13 -13
-11 -19 -5 -15 -18 -21 -16 -18
-13 -21 -2 -13 -16 -20 -14 -11
-12 -20 -1 -11 -17 -17 -15 -16
-12 -20 0 -10 -17 -18 -16 -16
-13 -17 -1 -11 -18 -20 -17 -14
-15 -15 -1 -11 -18 -18 -17 -26
-14 -14 -1 -10 -17 -13 -18 -25
-13 -14 -2 -11 -15 -12 -17 -21
-14 -17 2 -8 -13 -12 -14 -19
-12 -21 3 -7 -12 -18 -13 -18
-10 -15 3 -7 -12 -18 -14 -18
-12 -12 1 -9 -12 -15 -14 -18
-13 -16 4 -6 -12 -14 -14 -15
-12 -14 3 -6 -13 -14 -16 -8
-13 -14 2 -6 -12 -19 -15 -15
-11 -16 3 -5 -10 -18 -14 -20
-13 -18 3 -5 -10 -17 -14 -14
-13 -19 3 -5 -8 -16 -11 -16
-12 -20 5 -3 -7 -13 -9 -18
-13 -19 4 -4 -8 -14 -10 -15
-13 -10 1 -6 -11 -13 -13 -16
-11 -11 3 -5 -10 -13 -11 -19
-12 -16 4 -4 -10 -14 -11 -13
-9 -16 5 -3 -10 -15 -12 -5
-11 -19 4 -3 -9 -15 -12 -6
-11 -19 3 -4 -10 -14 -13 -12
-10 -17 3 -4 -10 -11 -13 -22
-12 -16 3 -4 -8 -14 -12 -19
-12 -14 3 -3 -7 -15 -10 -12
-11 -14 3 -4 -8 -15 -11 -15
-13 -12 1 -6 -11 -14 -13 -16
-10 -11 2 -6 -10 -14 -13 -14
-11 -19 5 -2 -8 -12 -10 -14
