I II V1 V2 V3 V4 V5 V6
54 202 -12 -11 186 230 226 203
32 235 -32 -31 205 254 251 231
19 254 -57 -57 218 266 263 244
14 248 -88 -88 218 261 257 240
10 221 -114 -113 200 234 229 215
9 170 -130 -129 165 189 185 174
10 114 -150 -149 104 126 132 126
4 73 -182 -181 19 48 78 81
-7 44 -205 -204 -64 -26 28 42
-13 21 -207 -206 -115 -73 -10 10
-15 7 -193 -192 -129 -86 -23 -6
-15 -6 -176 -175 -130 -88 -32 -18
-17 -17 -154 -153 -124 -90 -41 -30
-18 -24 -129 -129 -113 -86 -45 -36
-17 -24 -109 -108 -100 -77 -41 -37
-15 -23 -94 -93 -89 -69 -38 -36
-15 -21 -79 -78 -77 -62 -35 -35
-15 -20 -62 -61 -63 -54 -29 -31
-14 -18 -47 -47 -52 -46 -24 -28
-13 -16 -33 -33 -44 -40 -20 -25
-13 -14 -23 -23 -37 -35 -17 -24
-12 -14 -15 -15 -32 -31 -15 -23
-12 -16 -9 -9 -29 -30 -14 -23
-11 -17 -6 -5 -27 -29 -13 -23
-11 -17 -5 -5 -25 -28 -13 -23
-11 -17 -5 -5 -24 -27 -12 -22
-11 -18 -3 -3 -22 -25 -11 -20
-11 -18 -2 -2 -21 -24 -10 -19
-11 -17 -2 0 -21 -24 -10 -19
-11 -17 1 1 -21 -24 -10 -18
-10 -16 4 3 -20 -24 -10 -18
-10 -16 5 5 -20 -24 -10 -18
-9 -16 5 5 -20 -25 -11 -19
-7 -16 7 6 -19 -24 -10 -19
-7 -15 6 6 -19 -25 -10 -19
-6 -14 6 6 -17 -24 -9 -18
-7 -14 6 5 -17 -22 -8 -17
-8 -14 6 6 -16 -21 -7 -16
-8 -14 7 6 -15 -21 -7 -15
-7 -14 8 7 -15 -21 -7 -15
-6 -14 9 8 -16 -21 -7 -15
-5 -15 10 9 -16 -21 -7 -16
-5 -16 10 10 -16 -21 -7 -17
-5 -16 11 10 -16 -22 -7 -17
-5 -15 10 9 -15 -22 -7 -17
-5 -13 10 9 -14 -21 -7 -16
-5 -12 9 8 -14 -21 -7 -15
-6 -12 11 10 -12 -19 -5 -13
-6 -12 12 11 -11 -18 -4 -13
-5 -11 12 11 -13 -19 -5 -14
-5 -11 13 12 -13 -19 -6 -14
-3 -12 14 13 -12 -19 -6 -14
-2 -13 15 14 -12 -20 -6 -14
-2 -14 14 14 -13 -20 -6 -15
-3 -14 14 14 -13 -20 -7 -15
-3 -14 13 14 -12 -19 -6 -14
-3 -14 13 14 -12 -18 -5 -13
-3 -14 14 14 -11 -17 -4 -12
-3 -14 14 15 -10 -17 -4 -12
-2 -14 15 16 -9 -16 -3 -11
-2 -14 17 17 -8 -16 -3 -11
0 -14 18 18 -8 -16 -2 -12
1 -14 17 18 -9 -17 -3 -12
