I II V1 V2 V3 V4 V5 V6
-7 -13 5 21 10 10 -8 -16
-9 -8 8 20 9 10 -10 -16
-7 -4 7 15 11 4 -1 -18
-3 3 2 19 9 3 2 -20
2 7 1 21 11 8 5 -17
6 -5 7 25 16 8 16 -6
4 0 7 21 14 6 3 -16
0 -1 9 21 14 12 0 -16
-1 2 10 14 13 11 8 -17
-1 5 5 22 12 19 3 -20
0 4 5 22 10 20 4 -21
1 0 9 20 11 21 3 -23
3 8 5 12 8 11 2 -23
4 9 5 11 8 5 -7 -21
3 5 4 18 9 1 -8 -20
1 7 -3 7 8 4 -11 -14
0 5 1 11 8 -5 -2 -25
-5 4 6 10 7 -4 -9 -25
-5 6 4 8 5 -2 -18 -17
-6 2 3 20 7 -1 -16 -9
-4 -8 6 17 9 0 -6 -19
4 -8 7 14 13 2 -11 -18
3 -8 7 15 12 5 -6 -16
1 -5 8 14 11 1 -4 -23
1 -2 10 10 11 -1 1 -17
-1 -1 5 18 9 2 -3 -15
-2 -1 5 15 6 0 5 -16
-1 -2 7 9 6 1 1 -24
1 -1 3 16 7 2 -7 -30
2 8 0 11 5 5 -7 -27
-2 2 4 13 5 4 -3 -21
-3 -11 10 18 8 7 -7 -17
-1 -1 4 11 7 -1 -11 -26
-1 6 -1 7 4 -1 -15 -30
-1 7 -2 9 3 4 -12 -28
1 7 7 9 5 12 -3 -34
0 7 5 2 3 -2 -14 -31
-1 -5 7 6 6 13 -16 -19
-3 -14 7 17 8 10 -3 -13
0 -5 2 17 4 1 -6 -20
2 -6 7 6 4 3 -2 -26
2 -4 4 7 3 0 -2 -28
2 2 1 6 2 -2 -7 -31
4 11 -1 1 1 2 -16 -28
1 11 -2 -1 -1 0 -13 -27
1 7 4 0 -1 -3 -14 -18
1 0 4 4 2 8 -19 -17
-1 -3 5 7 3 -2 -14 -31
0 -5 5 4 2 -5 -12 -38
-4 -10 0 2 1 -6 -5 -22
-6 -5 -3 3 -1 -8 -11 -25
-3 2 0 2 1 -12 -5 -29
-4 1 6 4 2 -4 -3 -32
-4 -4 7 12 3 1 -16 -31
-8 -7 2 13 2 -2 -17 -34
-11 -13 -1 7 2 3 -13 -36
-11 -12 -1 7 1 2 -14 -36
-7 -14 0 5 -1 2 6 -35
-3 -6 1 7 0 7 2 -33
-4 -4 0 9 1 1 -10 -36
-5 -3 2 8 0 10 -7 -29
-1 -2 12 7 2 9 -9 -24
5 4 11 11 1 14 -9 -27
2 4 6 11 3 7 -16 -24
0 6 6 7 4 -3 -5 -18
2 8 9 7 3 3 -6 -22
3 9 7 11 5 -3 -13 -26
2 12 11 16 7 2 -9 -22
1 8 7 18 6 12 -10 -28
-1 10 8 7 4 3 -3 -25
-3 10 8 7 5 2 -4 -30
